Title,Authors,Abstract,Publication Date,Journal,DOI,Citations
Practical case study on the development of green standard for energy and environmental design in Thailand,"{'authors': [{'affiliation': 'National Housing Authority, Bangkok, Thailand', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086759006', 'id': 37086759006, 'full_name': 'Bong Chun Kim', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['National Housing Authority, Bangkok, Thailand']}}, {'affiliation': 'The Department of Socialized Housing Project Development, National Housing Authority, Bangkok, Thailand', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086757303', 'id': 37086757303, 'full_name': 'Thanapat Arnmanee', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['The Department of Socialized Housing Project Development, National Housing Authority, Bangkok, Thailand']}}]}","This is the practical case study on the development of Green Standard for Energy and Environmental Design in Thailand. There are 4 kinds of energy & environmental rating system today in Thailand. Each system will be introduced for awareness of the characteristics and issues from those systems. Then, G-SEED of South Korea will be introduced that focus on what is it and how to operate it. Some kinds of evaluation program and items for consideration will be recognized go through main structure, operation, design and calculation of G-SEED for Thailand. Green evaluation category, Innovation category to go green and None-green housing performance category will be recognized and recommended for development of G-SEED in Thailand. It is certainly timely that we should have a comprehensive building environmental assessment method and rating system in Thailand.",19-21 March 2014,2014 International Conference and Utility Exhibition on Green Energy for Sustainable Development (ICUE),No DOI,0
On Efficient Concatenation of LDPC Codes With Constrained Codes,"{'authors': [{'affiliation': 'Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085430718', 'id': 37085430718, 'full_name': 'Chi Dinh Nguyen', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore', 'Faculty of Electrical and Electronic Engineering, Phenikaa University, Hanoi, Vietnam', 'Phenikaa Research and Technology Institute (PRATI), A&A Green Phoenix Group JSC, Hanoi, Vietnam']}}, {'affiliation': 'Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore', 'authorUrl': 'https://ieeexplore.ieee.org/author/37391393000', 'id': 37391393000, 'full_name': 'Kui Cai', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore']}}, {'affiliation': 'Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085519857', 'id': 37085519857, 'full_name': 'Bingrui Wang', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore']}}, {'affiliation': 'Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086588503', 'id': 37086588503, 'full_name': 'Yan Hong', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Cluster of Science and Mathematics, Singapore University of Technology and Design (SUTD), Singapore']}}]}","In this article, an efficient concatenation of error correction codes with constrained codes is proposed. Generally, constrained codes are designed to match specified channels, whereas error correction coding schemes are designed to correct the channel errors. Both play important roles to ensure the integrity of data in data storage systems. In this study, we first investigate the design of k-constrained codes combined with a low-density parity-check (LDPC) code, and then we extend the idea to the design of dc-free k-constrained LDPC codes. Simulation results show that the proposed designs achieve an improved bit error rate (BER) performance, compared to prior art schemes. In particular, the proposed design for the dc-free k-constrained codes not only fully eliminates the effect of error propagation in a reverse configuration but also achieves significant dc suppression.",March 2020,IEEE Transactions on Magnetics,10.1109/TMAG.2019.2957278,2
A Review: Evolution of Technology towards Green IT,"{'authors': [{'affiliation': 'Department of CSE, Sharda University, Uttar Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37088840396', 'id': 37088840396, 'full_name': 'Vedangi Agarwal', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of CSE, Sharda University, Uttar Pradesh, India']}}, {'affiliation': 'Department of CSE, Sharda University, Uttar Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37088838021', 'id': 37088838021, 'full_name': 'Konark Sharma', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of CSE, Sharda University, Uttar Pradesh, India']}}, {'affiliation': 'Department of CSE, Sharda University, Uttar Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37088808315', 'id': 37088808315, 'full_name': 'Abha Kiran Rajpoot', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of CSE, Sharda University, Uttar Pradesh, India']}}]}","Today, technology is taking its place in every single field; whether it is to ease the life of humans or to save the human life, technology is all around. Due to this tremendous growth, the users of computers and other related resources (like data centers, hardware resources like sensors, printers, storage devices etc.) have increased exponentially. This has resulted in huge manufacturing, usage and wastage which is eventually contributing to low energy-efficiency, more power consumption, excess carbon footprints thus leading to global warming, pollution, and other environmental issues. Keeping in mind the environmental concerns, it has become a need to impose some strict measures to minimize the cause. Optimal utilization of these resources is the only root step towards IT sustainability. This eventually led to the concept of green computing. This paper shows the journey of eco-friendly technology from its origin to its future.",19-20 Feb. 2021,"2021 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",10.1109/ICCCIS51004.2021.9397173,2
Perception on Green Building Concept for Vertical Housing,"{'authors': [{'affiliation': 'Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086381662', 'id': 37086381662, 'full_name': 'Noveryna Dwika Reztrie', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia']}}, {'affiliation': 'Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086380587', 'id': 37086380587, 'full_name': 'Irma H. Lubis', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia']}}, {'affiliation': 'Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086380841', 'id': 37086380841, 'full_name': 'Hanson E. Kusuma', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia']}}, {'affiliation': 'Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086380368', 'id': 37086380368, 'full_name': 'M. Donny Koerniawan', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Department of Architecture, Bandung Institute of Technology, Bandung, Indonesia']}}, {'affiliation': 'Department of Nuclear and Physisc Engineering, Faculty of Engineering, Gadjah Mada University, Yogyakarta, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086381046', 'id': 37086381046, 'full_name': 'Rachmawan Budiarto', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['Department of Nuclear and Physisc Engineering, Faculty of Engineering, Gadjah Mada University, Yogyakarta, Indonesia']}}]}","Indonesia has a huge number of backlog, it is estimated at around 11.4 million unit in 2015. It has been sugested that vertical housing becomes one of the solution at fulfilling the housing need in the urban area in Indonesia. World Green Building Council reports that buildings contribute to 33% of carbon dioxide emission, 17% of water consumption, 25% of wood consumption, 30-40% of raw materials consumption, and 40-50% energy consumption in its construction and operation. Based on those facts, therefore, an environmentally sound development should consider building energy consumption. Green Building concept is being trusted as a way to solve this issue, but the local authority of Indonesia lacks of green criteria assessment for vertical housing. Through this study, it is expected to obtain some simple categories about green building concept for vertical housing. The methodology of this study, uses qulitative analysis by collecting perception from some respondents thhrough various ages and professions. The data is collected through online quetionnaire. The data determines to some key words and categories to see the distribution and corespondence on each answer. The result shows that respondents considered the Indoor comfortability and outdoor management being the important criteria that must be noticed on implementing green building design concept in vertical housing. It is caused by a half of respondents'occupants are not related to green building. This study is expected to be developed or considered for next study about green building assessment criteria for vertical housing in Indonesia.",24-26 March 2018,2018 2nd International Conference on Green Energy and Applications (ICGEA),10.1109/ICGEA.2018.8356297,0
Green Logistics in Small and Medium Enterprises for Sustainable Development: A Developing Country Perspective,"{'authors': [{'affiliation': 'Graduate Programs and External Studies Technological, University of the Philippines, Manila, Philippines', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086278667', 'id': 37086278667, 'full_name': 'Alexander A. Hernandez', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Graduate Programs and External Studies Technological, University of the Philippines, Manila, Philippines']}}, {'affiliation': 'College of Liberal Arts Technological, University of the Philippines, Manila, Philippines', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089418498', 'id': 37089418498, 'full_name': 'Victor James C. Escolano', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['College of Liberal Arts Technological, University of the Philippines, Manila, Philippines']}}, {'affiliation': 'Graduate Programs and External Studies Technological, University of the Philippines, Manila, Philippines', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089418100', 'id': 37089418100, 'full_name': 'Ronaldo A. Juanatas', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Graduate Programs and External Studies Technological, University of the Philippines, Manila, Philippines']}}, {'affiliation': 'College of Liberal Arts Technological, University of the Philippines, Manila, Philippines', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089417174', 'id': 37089417174, 'full_name': 'Ma. Divina E. Elvambuena', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['College of Liberal Arts Technological, University of the Philippines, Manila, Philippines']}}]}","Green logistics is an attempt to reduce the environmental impact of delivery and logistics processes. However, green logistics in SMEs in the Philippines is still under-investigated, and this study aims to fill this gap. Using a qualitative approach, this study explores the green logistics practices of SMEs in the Philippines. The results confirm the importance of green logistics practices in small and medium enterprises. This study found salient green logistics practices of SMEs that unveil localized sourcing of environment-friendly materials (inbound logistics), greener transport options and subsidized electric vehicles for fleet services (outbound logistics), utilization of shared facility (green operation/ production) to optimize the use of warehouse space, and strategic take-back scheme and rewards system (reverse logistics) are some of the green practices in the logistics process in the Philippines. The results also suggest that SMEs work with suppliers and customers, which is directed to improve operational benefits and reduce the impact on the environment. This study offers empirical evidence for further research and practice that may extend sustainable growth in SMEs.",19-20 May 2022,2022 7th International Conference on Business and Industrial Research (ICBIR),10.1109/ICBIR54589.2022.9786461,5
Existing Green Building Status in Lebanon: Analysis and Evaluation,"{'authors': [{'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085416479', 'id': 37085416479, 'full_name': 'Anissia Beainy', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089935973', 'id': 37089935973, 'full_name': 'Sabine Saad', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085824125', 'id': 37085824125, 'full_name': 'Rita Najjar', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'Lebanon Green Building Council, LGBC, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089935800', 'id': 37089935800, 'full_name': 'Riad Assaf', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Lebanon Green Building Council, LGBC, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/38547988800', 'id': 38547988800, 'full_name': 'Adnan Jouni', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}]}","Sustainable design and construction is a concept that has started gaining momentum in Lebanon. In this context, green buildings are an example of solutions that deliver high quality constructions, which can minimize environmental impact and resources depletion while enhancing occupants’ well-being. This paper aims at researching, assessing and evaluating current situations and lessons learnt from current fiscal incentives and regulatory framework available in Lebanon that promote green building rating systems and certifications, in the light of the estimated cost difference between green and non-green buildings.",5-7 July 2023,2023 6th International Conference on Renewable Energy for Developing Countries (REDEC),10.1109/REDEC58286.2023.10208178,0
Multiple Error Correction binary channel coding scheme,"{'authors': [{'affiliation': 'Department of ECE, BRECW, Hyderabad, Andhra Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085450318', 'id': 37085450318, 'full_name': 'N. Shribala', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of ECE, BRECW, Hyderabad, Andhra Pradesh, India']}}, {'affiliation': 'Department of EIE, GITAM, Hyderabad, Andhra Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/38111001900', 'id': 38111001900, 'full_name': 'P. Srihari', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of EIE, GITAM, Hyderabad, Andhra Pradesh, India']}}, {'affiliation': 'Department of ECE, JNTUH, Hyderabad, Andhra Pradesh, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37858875900', 'id': 37858875900, 'full_name': 'B.C. Jinaga', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of ECE, JNTUH, Hyderabad, Andhra Pradesh, India']}}]}","When data is transmitted by any medium, the energy per bit reduces as the information rate increases. This increase the difficulty in identifying the information in the presence of the noise. Noise present in all communication systems limits the performance of high-speed data communication. To compensate this higher error rate Forward Error Correction is employed where the receiver identifies the errors and corrects. Error Correction is very important to maintain a link in Communication system. Error Control Mechanism is required to achieve the acceptable error rate. Forward error correction (FEC) is such a scheme used to detect and correct the errors in the received data stream. In this scheme, error rate is controlled via Forward Transmission only. Overhead bits are added to the actual data bits. An (n, k) Linear Block Code with a specified Parity bit structure expresses a Block of ‘k’ message bits in a Block of ‘n’ Coded bits. In Systematic Linear Block code, ‘k’ information bits are followed by ‘n-k=r’ parity bits forming an ‘n’ bit Code word. In this paper, a binary channel coding scheme by name “Data negation Codes” is proposed, which can be used for single/Multiple random error correction and in a modified form, can be used for Burst error correction also.",12-14 Dec. 2013,"2013 International Conference on Green Computing, Communication and Conservation of Energy (ICGCE)",10.1109/ICGCE.2013.6823391,2
Discussion on the General Monitoring Information Platform of Green Intelligent Building based on Data Set Mining Algorithm,"{'authors': [{'affiliation': 'Nantong Institute of technology, Nantong, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089588116', 'id': 37089588116, 'full_name': 'Qiang Zhou', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Nantong Institute of technology, Nantong, China']}}]}","When processing and mining health IoT data based on the Hadoop platform, this paper firstly studies the Hadoop source code, designs and implements a distributed data cleaning algorithm to filter redundant data; Theoretical mining of the simplest rules or all rules of general decision tables is an NP-Hard problem, and the application frequency of different green building technology points in green building projects with different star ratings and different building types is studied. The application analysis of green building technology based on the data platform can assist in the optimal design of green buildings for the reference of green building participants and policy makers. Actively build an ideal combination of ""AIoT + smart buildings"", so as to master the methods of applying artificial intelligence and Internet of Things theories and technologies to solve practical problems.",13-15 Oct. 2022,2022 International Conference on Edge Computing and Applications (ICECAA),10.1109/ICECAA55415.2022.9936161,0
Towards an Ethical Foundation of Green Software Engineering,"{'authors': [{'affiliation': 'APHIN e.V.', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085693453', 'id': 37085693453, 'full_name': 'Harald Münzel', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['APHIN e.V.']}}]}","Code of ethics for software engineers already exists. However, none of these explicitly faces principles of green or sustainable software engineering. This paper tries to address this shortcoming by exposing an ethical foundation, which emphasizes the need for green software engineering. After that, the question of responsibility will be asked, and what the ethical foundation can contribute hereunto.",13-13 July 2015,2015 IEEE 10th International Conference on Global Software Engineering Workshops,10.1109/ICGSEW.2015.17,2
Digital Image Transmission with Polar Codes and Median Filtering,"{'authors': [{'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37332369300', 'id': 37332369300, 'full_name': 'Kuen-Tsair Lay', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}, {'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087080050', 'id': 37087080050, 'full_name': 'Han-Ting Huang', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan', 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}]}","In digital images, different bits can carry different degrees of importance. Therefore, unequal error protection (UEP) is quite often incorporated into the transmission of digital images. The so-called ""protection' is achieved via error control coding (ECC), for which the most investigated ECC class in recent years - namely, polar codes - are adopted in this work. One key issue with polar codes is code construction - determination of frozen bit-channels and information bit-channels. Moreover, for UEP, the order of the information bit-channels according to which the various bits in image pixels are to be placed needs to be determined. One specific ordering scheme is proposed in this paper and compared to an existing method. One phenomenon observed in polar decoding is that whenever there occurs an erroneously decoded bit, the succeeding bits are also likely to become erroneously decoded. In terms of visual quality, this problem translates into continous line-segments of obviously wrong lightness. To counter this problem, the technique of median filtering combined with pixel-interleaving is adopted in this work. It turns out that our scheme produces good results, in terms of the PSNR (peak signal-to-noise ratio) and the visua quality of the recovered images.",6-9 Sept. 2019,2019 4th International Conference on Intelligent Green Building and Smart Grid (IGBSG),10.1109/IGBSG.2019.8886247,0
